youtube_id,song,lyric,author 
n5bhZ1e-Yw4,Baby-Baby-Baby,"And you want my love
Well that's alright
Well it will be there for you morning, noon and night
But you gotta be good
And do it right
Ain't got no time for part-time lovin' in my life
Well you wanna be loved (uh)
Hey that's O.K.
Cause it falls in line right with my sexuality
But you gotta be down
A nickel gotta be true
Cause otherwise this ""B"" ain't got no time for you
[Chorus:]
Oh baby, baby, baby
I got so much love in me
Ooh (baby, baby,) baby, baby, baby
Cause if your're gonna get me off
You got to love me deep
Well you want my heart (uh)
And all my time
Well it won't be there if you can't deal with my mind
Cause a girl like me (uh)
Won't stand for less
I require plenty conversation with my sex
Long as you know that I could have any man I want to
Baby that's actual and factual
But still I choose you to be with me
And work on me so you better not flake it up
Ohhhhhh
[Chorus]
Baby, baby, baby
Ain't got no time for the part-time lovin'
I got so much love in me
I gotta be loved
And that's O.K.
Baby, baby, baby
Cause if you're gonna get me off 
You got to love me deep
(Get me off)
Baby Long as you know that I could have any man I want to
Baby that's actual and factual
But still I choose you to be with me
And work on me so you better not flake it up
Well you want my heart
And all my time 
Well it won't be there if you can't deal with my mind
Cause a girl like me
I won't stand for less
I require plenty conversation with my sex
[Chorus]
I can have any man that I want to 
Time and place that I choose to
But I think you know that I'd rather be here with you
Yeah
That's actual and factual
You're the one I seem to run back to 
Just to get me off
You got to love me, got to love me, got to love me
[Chorus]
Baby, baby, baby
I want to 
Time and place that I choose to 
But I think you know that I'd rather be here with you (yeah)
That's actual and facutal
You're the one I seem to run back to",TLC 
2kwEyjjT1a0,Go Away Little Girl,"If I was beautiful like you
Oh the things I would do
Those not so blessed would be crying out murder
And I'd just laugh and get away with it too
Like you do
If I was beautiful like you
I would never be at fault
I'd walk in the rain between the rain drops
Bringing traffic to a halt
But that would never be
Never, never be
Cause I'm not beautiful like you
I'm beautiful like me, I'm beautiful like me
If I was beautiful like you
I'd be quick to assume
They'd do anything to please me, why not
I see their reaction when you walk into the room
But that would never be
Never, never, never be
Cause I'm not beautiful like you
I'm beautiful like me, beautiful like me
Beautiful, beautiful like me
Like me, Like me...
If I was beautiful like you
I'd have so many friends
All fighting for my time to be next in line
So if I hurt one, I wouldn't have to make amends
But that would never be
Never, never, never be
Cause I'm not beautful like you
I'm not beautiful like you
I'm not beautiful like you
I'm beautiful like me
I'm Beautiful like me, beautiful like me
I'm beautiful like me, I'm beautiful like me!",Donny Osmond 
ZADpco6Zn9I,The Reason,"I'm not a perfect person
there's many things I wish I didn't do
but I continue learning
I never meant to do those things to you
and so I have to say before I go
that I just want you to know
I've found a reason for me
to change who I used to be
a reason to start over new
and the reason is you
I'm sorry that I hurt you
It's something I must live with everyday
and all the pain I put you through
I wish that I could take it all away
and be the one who catches all your tears
thats why i need you to hear
I've found a reason for me
to change who I used to be
a reason to start over new
and the reason is You [x4]
I'm not a perfect person
I never meant to do those things to you
and so I have to say before I go
that I just want you to know
I've found a reason for me
to change who I used to be
a reason to start over new
and the reason is you
I've found a reason to show
a side of me you didn't know
a reason for all that I do
and the reason is you",Hoobastank 
VYTk8aLNR3w,No Diggity,"(feat. Dr. Dre)
You know what
I like the playettes
No diggity, no doubt
Play on playette
Play on playette
Yo Dre, drop the verse
[Dr. Dre]
It's going down, fade to Blackstreet
The homies got RB, collab' creations
Bump like Acne, no doubt
I put it down, never slouch
As long as my credit can vouch
A dog couldn't catch me ass out
Tell me who can stop when Dre making moves
Attracting honeys like a magnet
Giving em eargasms with my mellow accent
Still moving this flavour
With the homies Blackstreet and Teddy
The original rump shakers
Shorty in down, good Lord
Baby got em up open all over town
Strictly biz, she don't play around
Cover much ground, got game by the pound
Getting paid is a forte
Each and every day, true player way
I can't get her out of my mind
(what)
I think about the girl all the time
East side to the west side
Pushing phat rides, it's no surprise
She got tricks in the stash
Stacking up the cash
Fast when it comes to the gas
By no means average
As long as she's got to have it
Baby, you're a perfect ten, I wanna get in
Can I get down, so I can win
[1] - I like the way you work it
No diggity, I try to bag it up, bag it up
[Repeat 1 (3x)]
She's got class and style
She's managed by the town,
Baby never act wild
Very low key on the profile
Catching catichin' vilians is a no,
Let me tell you how it goes
Curve's the words, spin's the verbs 
Lovers it curves so freak what you heard
Rolin' with the phatness
You don't even know what the half is
You gotta pay to play
Just for shorty, bang-bang, to look your way
I like the way you work it
Trumped tight, all day, every day
You're blowing my mind, maybe in time
Baby, I can get you in my ride
[Repeat 1 (4x)]
[2] - Hey yo, hey yo, hey yo, hey yo
Hey yo, that girl looks good
Hey yo, hey yo, hey yo, hey yo
Play on, play on playette
Hey yo, hey yo, hey yo, hey yo
You're my kind of girl, no diggity
Hey yo, hey yo, hey yo, hey yo
Hey
[Queen Pen]
Cause thats my peeps and we row G
Flying first class from New York City to Blackstreet
What you know about me, not a motherf.. thing
Cartier wooded frames sported by my shortie
As for me, icy gleaming pinky diamond ring
We be's the baddest clique up on the scene
Ain't you getting bored with these fake ass broads
I shows and proves, no doubt, I be takin you, so
Please excuse, if I come across rude
That's just me and that's how the playettes got to be
Stay kicking game with a capital G
Axe the peoples on my block, I'm as real as can be
Word is bond, faking jacks never been my flava
So, Teddy, pass the word to your nigga Chauncy
I be sitting in car, let's say around 3:30
Queen Pen and Blackstreet, it's no diggity
[Repeat 1 (4x)]
[Repeat 2]",BLACKstreet 
Lf0ZIwHmXfM,Broken Wings,"Baby I don't understand
Why we can't just hold on
To each other's hands
This time will be the last
I fear unless I make it all so clear
I need you so
Take these broken wings
And learn to fly again
And learn to live so free
And when we hear the voices sing
The book of love will open up
And let us in
Baby I think tonight
We can take what was wrong
And make it right
I need you so
Baby it's all I know
That you're half of the flesh
And blood makes me whole
I need you so",Mr. Mister 
2MSCNXn0cMw,Kiss On My List,"It cannot be seen
But there's blood on the green
Only god knows I'm innocent
Take me, take me home
A dark seed reigns in me
Like the storm rules over the sea
I challenge thee, do not cross this bridge alone
Don't dare me now
The threatening shadows will pass by
There're getting closer now
Open your eyes
Wake up my dear young friend
And hate shall fade away
I will not move, yet
I'll stand still, instead
There on the battlefield he stands
Down on the battlefield he's lost
And on the battlefield it ends
War and anger shall reign
The clash of iron can be heard
By blindness you're driven insane
I'm lost in anguish and grief
Sorrow won't wane 'til you die
A shattered body deeply hurt
And darkness will cover the light
It's gone forevermore
The field's been left in sorrow
The father and the son
They're gone
The sun shines bright
And anger rises
Lorn and lonely
Torn apart
Don't you think
It's time to stop now
We were charmed and fooled by the old serpent's kiss
Let's pray
That heaven is on our side
Through violence and horror
Shall honour arise
So let's pray
And blessed shall be our leader
We follow the noble and bright
Don't you hear me crying
Crying
Come take me away
I hallow thy name
There on the battlefield he stands
Down on the battlefield he's lost
And on the battlefield it ends
War and anger shall reign
The clash of iron can be heard
By blindness you're driven insane
I'm lost in anguish and grief
Sorrow won't wane 'til you die
A shattered body deeply hurt
And darkness will cover the light
It's gone forevermore
That's what minstrel sing
Join in the horrible screams
Take part in murderous deeds
Renowned be the lion-hearted
Join in the minstrelsy
Wailing in endless grief
It eagerly longs for more
Broken bodies lay down on the ground
Blood sheds all over the place
The green will be stained forever
And hate reigns all over the field
They keep struggling on in anger
Fiercely intense
Outrageous, too blind to see
And in pain they keep on singing
We claim the land for the highlord
God bless the land and our highlord
War and anger shall reign
The clash of iron can be heard
By blindness you're driven insane
I'm lost in anguish and grief
Sorrow won't wane 'til you die
A shattered body deeply hurt
And darkness will cover the light
It's gone forevermore",Daryl Hall & John Oates 
w7iZs8LZ9Gs,I Love You Always Forever,"(Verse 1)
Feels like I'm standing in a timeless dream
Of light mists, of pale amber rose
Feels like I'm lost in a deep cloud of heavenly scent
Touching, discovering you
(Verse 2)
Those days of warm rain come rushing back to me
Miles of windless summer nights
Secret moments shared within the heat of the afternoon
Out of the stilness, soft spoken words
(Say it, say it again)
(Chorus)
I love you always forever
Near or far, closer together
Everywhere I will be with you
Everything I will do for you
(Chorus)
You've got the most unbelievable blue eyes I've ever seen
You've got me almost melting away
As we lay there
Under a blue sky with pure white stars
Exotic sweetness, a magical time
(Say it, say it again)
(Chorus 2x)
(Bridge)
Say you'll love and love me forever
Never stop, never whatever
Near and far and always Everywhere and every(thing)
(Bridge 3x)
(Chorus to fade)",Donna Lewis 
b829JO7JKPo,The Twist,"Come on baby let's do the twist 
Come on baby let's do the twist 
Take me by my little hand and go like this 
Ee-oh twist baby baby twist 
Oooh-yeah just like this 
Come on little miss and do the twist 
My daddy is sleepin' and mama ain't around 
Yeah daddy is sleepin' and mama ain't around 
We're gonna twisty twisty twisty 
'Til we turn the house down 
Come on and twist yeah baby twist 
Oooh-yeah just like this 
Come on little miss and do the twist 
Yeah you should see my little Sis 
You should see my my litlle Sis 
She really knows how to rock 
She knows how to twist 
Come on and twist yeah baby twist 
Oooh-yeah just like this 
Come on little miss and do the twist 
Yeah rock on now 
Yeah twist on now 
Twist",Chubby Checker 
lvHK8-g7qRw,Sara Smile,"Blood on the windshield mystic mosaic
Surreal you're your ribcage menagerie
Listen to lips that lull you to sleep beside
A living nightmare
In front of a fake friend fell on your knees
His death in a car crash cured your disease
Still in the water food for the fishes
Would anyone miss him?
With his words like mercury
Filling the holes from razor gazes
A verbal gauze for broken hearts
Seal the coffin careless to kiss
Stab at the angels that gave you to me
Morbid my love lives forever inside my chest
She completes me
I stare at the sky through a blanket of filth
Means to an end their exhaust in my lungs
Stinging my eyes like a tear for an unborn child
But she stares with me
Choose your blade
And carve your name into my heart
Soothe the wounds and heal my sca",Daryl Hall & John Oates 
S89AmJFP-j0,Missing You,"Every time I think of you
I always catch my breath
And I'm still standing here
And you're miles away
And I'm wondering why you left 
And there's a storm that's raging
Through my frozen heart tonight 
I hear your name in certain circles
And it always makes me smile
I spend my time 
Thinking about you
And it's almost driving me wild 
 And there's a heart that's breaking
Down this long distance line tonight 
I ain't missing you at all
Since you've been gone
Away
I ain't missing you
No matter
What I might say 
There's a message 
In the wild
And I'm sending you
this signal tonight 
You don't know
 How desperate I've become
And it looks like I'm losing this fight 
In your world
I have no meaning
Though I'm trying hard
to understand 
And it's my heart that's breaking
Down this long distance line tonight 
I ain't missing you at all
Since you've been gone
Away
I ain't missing you
No matter
What my friends say 
And there's a message that I'm sending out
Like a telegraph to your soul
And if I can't bridge this distance
Stop this heartbreak overload 
I ain't missing you at all
Since you've been gone
Away
I ain't missing you
No matter
What my friends say 
I ain't missing you
I ain't missing you
I keep lying to myself 
And there's a storm that's raging
Through my frozen heart tonight 
I ain't missing you at all
Since you've been gone
Away
I ain't missing you
No matter
What my friends say 
Ain't missing you
I ain't missing you
I ain't missing you
I keep lying to myself 
Ain't missing you
I ain't missing you
I ain't missing you
I ain't missing you 
I ain't missing you
I ain't missing you
Ain't missing you
Oh no 
No matter what my friends might say",John Waite 
N_QUijD6PzA,Who Can It Be Now?,"Who can it be knocking at my door
Go 'way, don't come 'round here no more.
Can't you see that it's late at night
I'm very tired, and I'm not feeling right.
All I wish is to be alone;
Stay away, don't you invade my home.
Best off if you hang outside,
Don't come in - I'll only run and hide.
Who can it be now
Who can it be now
Who can it be now
Who can it be now
Who can it be knocking at my door
Make no sound, tip-toe across the floor.
If he hears, he'll knock all day,
I'll be trapped, and here I'll have to stay.
I've done no harm, I keep to myself;
There's nothing wrong with my state of mental health.
I like it here with my childhood friend;
Here they come, those feelings again!
Who can it be now
Who can it be now
Who can it be now
Who can it be now
Is it the man come to take me away
Why do they follow me
It's not the future that I can see,
It's just my fantasy
Oh...Who can it be now
Oh...Who can it...Who can it...
Yeah yeah yeah",Men At Work 
2kb3ax6F3GI,Brandy (You're A Fine Girl),"(dooda-dit-dooda), (dit-dooda-dit-dooda)
There's a port on a western bay
And it serves a hundred ships a day
Lonely sailors pass the time away
And talk about their homes
And there's a girl in this harbor town
And she works layin' whiskey down
They say ""Brandy, fetch another round""
She serves them whiskey and wine
The sailors say ""Brandy, you're a fine girl"" (you're a fine girl)
""What a good wife you would be"" (such a fine girl)
""Yeah your eyes could steal a sailor from the sea""
(dooda-dit-dooda), (dit-dooda-dit-dooda-dit)
Brandy wears a braided chain
Made of finest silver from the North of Spain
A locket that bears the name
Of the man that Brandy loves
He came on a summer's day
Bringin' gifts from far away
But he made it clear he couldn't stay
No harbor was his home
The sailor said "" Brandy, you're a fine girl"" (you're a fine girl)
""What a good wife you would be"" (such a fine girl)
""But my life, my lover, my lady is the sea""
(dooda-dit-dooda), (dit-dooda-dit-dooda-dit)
Yeah, Brandy used to watch his eyes
When he told his sailor stories
She could feel the ocean foam rise
She saw its ragin' glory
But he had always told the truth, lord, he was an honest man
And Brandy does her best to understand
(dooda-dit-dooda), (dit-dooda-dit-dooda-dit)
At night when the bars close down
Brandy walks through a silent town
And loves a man who's not around
She still can hear him say
She hears him say "" Brandy, you're a fine girl"" (you're a fine girl)
""What a good wife you would be"" (such a fine girl)
""But my life, my lover, my lady is the sea""
(dooda-dit-dooda), (dit-dooda-dit-dooda-dit)
""Brandy, you're a fine girl"" (you're a fine girl)
[FADE]
""What a good wife you would be"" (such a fine girl)
""But my life, my lover, my lady is the sea""",Looking Glass 
XjBwAYIxUso,Don't Dream It's Over,"There is freedom within, there is freedom without
Try to catch the deluge in a paper cup
There's a battle ahead, many battles are lost
But you'll never see the end of the road
While you're travelling with me
Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
They come, they come
To build a wall between us
We know they won't win
Now I'm towing my car, there's a hole in the roof
My possessions are causing me suspicion but there's no proof
In the paper today tales of war and of waste
But you turn right over to the T.V. page
Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
They come, they come
To build a wall between us
We know they won't win
Now I'm walking again to the beat of a drum
And I'm counting the steps to the door of your heart
Only shadows ahead barely clearing the roof
Get to know the feeling of liberation and relief
Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
They come, they come
To build a wall between us
Don't ever let them win",Crowded House 
SjT_iatXI1w,Ain't No Mountain High Enough,"(Nickolas Ashford/Valerie Simpson) 
If you need me, call me. No matter where you are, no matter how far. Just call my name. I'll be there in a hurry. On that you can depend and never worry.
(You see, my love is alive It's like a seed that only needs the thought of you to grow. So if you feel the need for company, please, my darling, let it be me. I may not be able to express the depth of the love I feel for you, but a writer put it very nicely when he was away from the one he loved. He said down and wrote these words:)
No wind, (No wind) no rain, (no rain)
Nor winter's cold
Can stop me, babe (oh, babe) baby (baby)
If you're my goal
No wind, no rain,
Can stop me, babe
If you wanna go
I know, I know you must follow the sun
Wherever it leads
But remember
If you should fall short of your desires
Remember life holds for you one guarantee
You'll always have me
And if you should miss my love
One of these old days
If you should ever miss the arms
That used to hold you so close, or the lips
That used to touch you so tenderly
Just remember what I told you
The day I set you free
Ain't no mountain high enough
Ain't no valley low enough (Say it again)
Ain't no river wild enough
To keep me from you
Ain't no mountain high enough
Ain't no valley low enough (Say it again)
Ain't no river wild enough
To keep me from you
Ain't no mountain high enough
Nothing can keep me
To keep me from you
Ain't no mountain high enough
Ain't no valley low enough (One more time)
Ain't no river wild enough (Say it again)
To keep me from you
Ain't no mountain high enough
Nothing can keep me
To keep me from you",Diana Ross 
_tyjvXm1LOg,Crazy For You,"Swaying room as the music starts
Strangers making the most of the dark
Two by two their bodies become one
I see you through the smokey air
Can't you feel the weight of my stare
You're so close but still a world away
What I'm dying to say, is that
Chorus:
I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new, you'll feel it in my kiss
I'm crazy for you, crazy for you
Trying hard to control my heart
I walk over to where you are
Eye to eye we need no words at all
Slowly now we begin to move
Every breath I'm deeper into you
Soon we two are standing still in time
If you read my mind, you'll see
(chorus)
It's all brand new, I'm crazy for you
And you know it's true
I'm crazy, crazy for you",Madonna 
vpTYnk8x6uU,As I Lay Me Down,"It felt like spring time on this February morning 
In the courtyard birds were singing your praise 
I'm still recalling things you said to make me feel 
Alright I carried them with me today now 
As I lay me down to sleep 
This I pray 
That you will hold me dear 
Though I'm far away 
I'll whisper your name 
Into the sky 
And I will wake up happy 
I wonder why 
I feel so high though I am not above the sorrow 
Heavy hearted 'till you call my name 
And it sounds like church bells or the whistle of a train 
On a summer evening I'll run to meet you barefoot 
Barely breathing 
As I lay me down to sleep 
This I pray 
That you will hold me dear 
Though I'm far away 
I'll whisper your name 
Into the sky 
And I will wake up happy (oh darling) 
As I lay me down to sleep 
This I pray 
That you will hold me dear 
Though I'm far away 
I'll whisper your name 
Into the sky 
And I will wake up happy 
It's not too near for me 
Like a flower I need the rain 
Though it's not clear to me 
Every season has its change 
And I will see you 
When the sun comes out again 
As I lay me down to sleep 
This I pray 
That you will hold me dear 
Though I'm far away 
I'll whisper your name 
Into the sky 
And I will wake up happy (oh oh...) 
As I lay me down to sleep 
This I pray 
That you will hold me dear 
Though I'm far away 
I'll whisper your name 
Into the sky 
And I will wake up happy 
I wonder why 
(hmmm) 
When the sun comes out again 
When the sun comes out again 
When the sun comes out again 
When the sun comes out again (oooh) 
When the sun comes out again 
When the sun comes out again (hmmm) 
(comes out comes out oooh) 
And I will wake up happy 
So I pray",Sophie B. Hawkins 
U727KgeoG7I,Higher Love,"Think about it, there must be higher love
Down in the heart or hidden in the stars above
Without it, life is a wasted time
Look inside your heart, I'll look inside mine
Things look so bad everywhere
In this whole world, what is fair?
We walk blind and we try to see
Falling behind in what could be
Bring me a higher love
Bring me a higher love
Bring me a higher love
Where's that higher love I keep thinking of?
Worlds are turning and we're just hanging on
Facing our fear and standing out there alone
A yearning, and it's real to me
There must be someone who's feeling for me
Things look so bad everywhere
In this whole world, what is fair?
We walk blind and we try to see
Falling behind in what could be
Bring me a higher love
Bring me a higher love
Bring me a higher love
Where's that higher love I keep thinking of?Bring me a higher love
Bring me a higher love
Bring be a higher love
I could rise above on a higher love
I will wait for it
I'm not too late for it
Until then, I'll sing my song
To cheer the night along
Bring it...Oh bring it...
I could light the night up with my soul on fire
I could make the sun shine from pure desire
Let me feel that love come over me
Let me feel how strong it could be
Bring me a higher love
Bring me a higher love
Bring me a higher love
Where's that higher love I keep thinking of?",Steve Winwood 
p-KNmwP0Gnc,Tonight's The Night (Gonna Be Alright),"(Rod Stewart)
Stay away from my window
Stay away from my back door too
Disconnect the telephone line
Relax baby and draw that blind
Kick off your shoes and sit right down
Loosen off that pretty French gown
Let me pour you a good long drink
Ooh baby don't you hesitate cause
Tonights the night 
It's gonna be alright
Cause I love you girl
Ain't nobody gonna stop us now
C'mon angel my hearts on fire
Don't deny your man's desire
You'd be a fool to stop this tide
Spread your wings and let me come inside Tonights the night
It's gonna be alright
Cause I love you girl
Ain't nobody gonna stop us now
Don't say a word my virgin child
Just let your inhibitions run wild
The secret is about to unfold
Upstairs before the night's too old
Tonights the night
It's gonna be alright
Cause I love you woman
Ain't nobody gonna stop us now",Rod Stewart 
ax68rWI4Tuk,Funkytown,"Gotta make a move to a town that's right for me
a town to keep me movin' keep me groovin' with some energy
well, i talk about it (X4)talk about (X3)  moovin'gotta' move on (X3)
won't you take me to funkytown (X4)   (break it down)
won't you take me to funkytown (X4)   (once more from the top)
take me won't you take me (X4)i wanna go, to funkytown now (X4)","Lipps, Inc. "
3D_s6Py4_xQ,Music,"(Spoken:)
Hey Mister D.J.
Put a record on
I wanna dance with my baby
Do you like to boogie-woogie
Do you like to boogie-woogie
Do you like to boogie-woogie
Do you like my Acid Rock
Hey Mister D.J.
Put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop
It's gonna drive me crazy
Music
Chorus:
Music makes the people come together
[Never gonna stop]
Music makes the bourgeoisie and the rebel
[Never gonna stop]
Don't think of yesterday
And I don't look at the clock
I like to boogie-woogie, uh, uh
It's like riding on the wind
And it never goes away
Touches everything I'm in
Got to have it everyday
(chorus)
Hey Mister D.J.
[Never wanna stop]
Do you like to boogie-woogie
Do you like to boogie-woogie
Do you like to boogie-woogie
Do you like my Acid Rock
Hey Mister D.J.
Put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop
It's gonna drive me crazy
Uh, uh, uh
(chorus)
Do you like to boogie-woogie
Do you like to boogie-woogie
Do you like to boogie-woogie
Do you like my Acid Rock
(repeat and fade)",Madonna 
iZ23RtQiRVg,Baby Baby,"Baby, baby
I'm taken with the notion
To love you with the sweetest of devotion.
Baby, baby
My tender love will flow from
The bluest sky to the deepest ocean.
Stop for a minute
Baby, I'm so glad you're mine, yeah
You're mine.
Baby, baby
The stars are shining for you
And just like me I'm sure that they adore you.
Baby, baby
Go walking through the forest
The birds above a' singing you a chorus.
Stop for a minute
Baby, they're so glad you're mine, oh yeah
And ever since the day you put my heart in motion
Baby I realize that there's just no getting over you.
Baby, baby
In any kind of weather
I'm here for you always and forever.
Baby, baby
No muscle man could sever
My love for you is true and it will never
Stop for a minute
Baby, I'm so glad you're mine
And ever since the day you put my heart in motion
Baby I realize that there's just no getting over you.
And ever since the day you put my heart in motion
Baby I realize that there's just no getting over you.
Over you.
Baby, baby
Always and forever
Baby I'm so glad that
Here for you baby
So glad you're mine
Baby I'm so glad that
When I think about you it makes me smile
Baby, baby be mine
Baby I'm so glad that
Don't stop giving love
Don't stop, no
Baby I'm so glad that you're mine
Baby I'm so glad
Baby I'm so glad that
When I think about you it makes me smile.",Amy Grant 
9QQMSq21VTA,Lean Back,"(feat. Fat Joe (a.k.a Joey Crack) & Remy)
Yeah... My niggas...
Throw ya hands in the air right now man...
Feel this shit right here... 
[Verse 1 - Fat Joe a.k.a Joey Crack]
I don't give a fuck 'bout your fault or mishappenin's,
Nigga we from the Bronx, New York... shit happens,
Kids clappin' love to spark the place,
Half the niggas on the squad got a scar on they face,
It's a cold world, and this is ice,
Half a mil' for the charm, nigga this is life.
Got the phantom in front building Trinity Ave.
10 years been legit they still figure me bad.
As a youngin', I was too much to cope with.
Why you think, mo'fuckers nick-named me, Cook Coke shit.
Should've been called armed robbery, extorsion or maybe grand larceny...
I did it all, I put the pieces to the puzzle,
This long, I knew me and my peoples was gon' bubble.
Came out the gate, no I didn't flow Joe shit.
Fat nigga with shotty was the logo kid.
[Chorus]
Said my niggas don't dance,
we just pull up our pants and,
Do the Roc-away.
Now lean back, lean back, lean back, lean back.
I said my niggas don't dance,
See we just pull up our pants and,
Do the Roc-away.
Now lean back, lean back, lean back, lean back.
[Verse 2 - Remy]
R to the E'zzy',
M to the whizz-i [Y],
My arms stay breezy, 
The Don's stay fizz-i,
Got a date at 8, I'm in the 740'fizz-i
And I just bought a bike so I can ride til' I die,
With a matchin' jacket,
Bout' to cop me a mansion,
My niggas in the club, but you know they not dancin'.
We gangsta, and gangstas don't dance- we boogie,
So nevermind how we got in here with the burners and hoodies.
Listen we don't pay admission,
And bouncers don't check us,
And we walk around the metal detectors.
And there really ain't no need for a VIP section in the middle of the dance floor,
Reckless, check it, said it?!
Like my necklace, started relaxin' now, that's what the fuck I call a chain reaction.
See, money ain't a thing nigga, we still the same nigga, flows just changed 
now we 'bout to change the game nigga.
[Chorus]
Said my niggas don't dance,
we just pull up our pants and,
Do the Roc-away.
Now lean back, lean back, lean back, lean back.
I said my niggas don't dance,
we just pull up our pants and,
Do the Roc-away.
Now lean back, lean back, lean back, lean back.
[Verse 3 - Fat Joe a.k.a Joey Crack]
Now we livin' better now, 
Gucci sweater now,
And that G4 could fly through, any weather now,
See niggas get tight, when you worth some millions.
That's why I sport the chincilla to hurt they feelin's.
Your can find Joe Crack at all type of shit,
Out at Vegas front roll on all the fights and shit,
If I visited Compton, they'd prolly squeel.
'Cause half these rappers get ""Blow"" like Dereck Foreal.
If you cross the line damn right, I'm gon' hurt you,
These faggot niggas even made gang signs commercials.
Even Lil' Bow Wow throwin' it up,
B2K crip walkin' like that's what's up.
Kay keep tellin' me to speak about rucker,
Matter of fact, I don't wanna speak about the rucker,
Not even Pee-Wee Kirkland could imagine this,
My niggas didn't have to play to win the championship.
[Chorus]
my niggas don't dance,
we just pull up our pants and,
Do the Roc-away.
Now lean back, lean back, lean back, lean back.
I said my niggas don't dance,
we just pull up our pants and,
Do the Roc-away.
Now lean back, lean back, lean back, lean back.",Terror Squad 
H3SFBC64Dyk,All I Have,"Love is life and life is livin'
It's very special
All my love...
Oh...oh...oh...oh...oh...
(Baby, don't go)
(Baby, don't go) Yeah
(Baby, don't go, uh)
(Baby, don't go) Yeah
(Baby, don't go)
(Baby, don't go) Yeah, yeah
(Why you act like that)
It's such a shame, but I'm leavin'
Can't take the way you mistreated me
And it's crazy, but oh, baby
It don't matter, whatever, don't phase me
Uh, uh, uh
I don't believe you wanna leave like this
I don't believe I just had my last real kiss
I do believe we'll laugh and reminisce
Wait a minute, don't bounce, baby, let's talk about this, man
Well, I'm bouncin' and I'm out, son
I gotta leave you alone
'Cause I'm good holdin' my spot
And I'm good reppin' the girls on the block
And I'm good, I got this thing on lock
So without me you'll be fine, right
All my pride is all I have
(Pride is what you had, baby girl, I'm what you have)
You'll be needin' me, but too bad
(Be easy, don't make decisions when you mad)
You had to your choice to run alone
(I know you're independent, you can make it on your own)
Here with me you had a home, oh, yeah
(But time is of the essence, why spend it alone, huh)
The nights I waited up for you (Oh, boy)
Promises you made about comin' through
So much time you wasted
That's why I had to replace you
Uh, uh, uh
It makes a cat nervous, the thought of settlin' down
Especially me, I was creepin' all over town
I thought my tender touch could lock you down
I knew I had you, as cocky as it sounds
That's the way you used to giggle right before I put it down
It's better when you angry, come here, I'll prove it now, come here
Stop playin, you gamin'
I gotta leave you alone
'Cause I'm good holdin' my spot (Stop actin' like that)
And I'm good reppin' the girls on the block (Now you
know you need to stop)
And I'm good, I got this thing on lock
So without me you'll be fine, right (Here we go)
All my pride is all I have
(Pride is what you had, baby girl, I'm what you have)
You'll be needin' me, but too bad
(Be easy, don't make decisions when you mad)
You had to your choice to run alone
(I know you're independent, you can make it on your own)
Here with me you had a home, oh, yeah
(But time is of the essence, why spend it alone, huh)
People make mistakes to make up, to break
To wake up cold and lonely, chill, baby, you know me
You love me, I'm like your homey
Instead of beef you come hold me
I promise I'm not a phony
Don't bounce, baby, console me, come here
Ain't nothin' you can say to me that can change my mind
I gotta let you go now
And nothin' will ever be the same, so just be on your way
Go 'head and do your thing now
And there's no more to explain to me, you no
I know your game and I'm feelin' what you do
So I'm bouncin' and I'm out, son
I gotta leave you alone, yeah, yeah
All my pride is all I have
(Pride is what you had, baby girl, I'm what you have)
You'll be needin' me, but too bad
(Be easy, don't make decisions when you mad)
You had to your choice to run alone
(I know you're independent, you can make it on your own)
Here with me you had a home, oh, yeah
(But time is of the essence, why spend it alone, huh)
All my pride is all I have
(Pride is what you had, baby girl, I'm what you have)
You'll be needin' me, but too bad
(Be easy, don't make decisions when you mad)
You had to your choice to run alone
(I know you're independent, you can make it on your
own)
Here with me you had a home, oh, yeah
(But time is of the essence, why spend it alone, huh)
I promise you
You know what I'm sayin'",Jennifer Lopez 
